conversation_id,key_issue,key_resolution
2228,Unreceived order.,Replacement order issued.
2229,Incorrect delivery location/method.,Re-arranged home delivery for tomorrow.
2230,Missing instructions for Detox Foot Pads.,Emailed instructions.
2231,Unclear aisle signage.,Feedback submitted; signage improvement requested.
2232,Positive feedback on Leeds store staff.,Positive feedback on Leeds store staff helpfulness.
2233,Long wait time at Ipswich store.,Feedback passed to store manager.
2234,Delayed order.,Order delayed; expedited shipping.
2235,Low stock levels of herbal teas and skincare products in Stowmarket store.,Feedback on low stock relayed to store management; online stock check offered.
2236,Unresolved product complaint.,Complaint escalated for faster resolution.
2237,Incorrect delivery address.,Redelivery arranged.
2238,To compliment staff at Castle Point branch.,Positive feedback shared; no issue to resolve.
2239,Increased hair shedding after using hair growth serum.,Increased shedding is normal; monitor; consult doctor if it worsens.
2240,Product discontinuation.,Alternative product with Zeaxanthin suggested.
2241,Received expired product.,Refund issued; service issue escalated.
2242,Delayed delivery of heavy items.,"Delayed delivery; order now out for delivery, discount coupon issued."
2243,Seeking supplement recommendations for endurance and recovery.,Recommended CoQ10 and Whey protein for endurance and recovery.
2244,Damaged package contents.,Replacement order processed.
2245,Lack of follow-up on faulty product report.,Issue escalation to head office for follow-up within 24 hours.
2246,Positive feedback on Birmingham store staff.,Positive feedback; no resolution needed.
2247,Positive feedback on helpful staff.,Positive feedback given.
2248,Invalid email address format.,Typo in email address corrected.
2249,Lack of response to service complaint.,Escalated complaint to store manager; follow-up within 48 hours.
2250,Shattered coconut oil jar in order #HB667788.,Replacement coconut oil sent.
2251,Expired discount code.,Provided new discount code.
2252,Website mislabeled collagen type.,Replacement product sent.
2253,Positive feedback on Liverpool store staff.,Positive feedback on Liverpool store staff.
2254,Complimenting store staff.,Positive feedback; no issue resolution needed.
2255,Expired protein powder; unresolved complaint.,Complaint escalated; customer to hear back within 24 hours.
2256,Order delayed in warehouse.,Order #7891011 will ship within 24 hours.
2257,Inconsistent staff helpfulness.,Feedback provided; manager notified.
2258,Reason for contact:  Positive feedback.,Positive feedback; no issue resolution needed.
2259,Missing package.,Package dispatch expedited.
2260,Failed online order payment.,Order manually processed due to technical glitch.
2261,Incorrect order fulfillment: received small protein pack instead of large.,Incorrect order fulfilled; correct order dispatched.
2262,Unprofessional staff member's offensive comment.,Complaint filed regarding unprofessional staff behavior; investigation initiated.
2263,Positive feedback on Derby store staff.,Positive feedback given; no issue to resolve.
2264,Expired product purchased in-store.,Refund issued; service issue escalated.
2265,Incorrect order received.,Incorrect order received; expedited replacement shipment.
2266,Late Omega-3 subscription delivery.,Delayed delivery due to stock issues; notification of restock will be sent.
2267,Received expired beauty cream.,Replacement cream sent.
2268,High prices compared to competitors.,Offered £3 voucher.
2269,Complimenting excellent store service.,Positive feedback; no issue resolution needed.
2270,Failed subscription payment.,Payment card information updated.
2271,Positive feedback on website and delivery.,Positive feedback; no issue resolution needed.
2272,Damaged gluten-free snack packet.,Damaged item replaced.
2273,Unexpected artificial sweeteners in protein powder.,Refund or exchange offered for unwanted product.
2274,Missing shipping confirmation.,Order shipping expedited; tracking information emailed.
2275,2-for-1 offer not applied at checkout.,Manual discount applied; refund issued.
2276,Missing order items.,Refund issued for lost package.
2277,Delayed order delivery.,New shipment expedited; 10% discount applied.
2278,Order delay.,Order delayed due to stock; expedited shipping and voucher issued.
2279,Confused about Vitamin B12 dosage from different bottles.,Use the 500 mcg Vitamin B12 supplement.
2280,Stomach discomfort from probiotic supplement.,Refund issued for probiotic supplement.
2281,Damaged shipping box (contents undamaged).,10% discount offered for damaged packaging.
2282,Poor service at London Oxford Street store.,Feedback submitted to London store manager.
2283,Delayed omega-3 order.,Replacement order expedited.
2284,Delayed order delivery.,Replacement order expedited.
2285,No issue; expressing appreciation.,Positive feedback; no issue resolution needed.
2286,Overcharged during Penny Sale.,Refund issued for overcharge.
2287,Delayed refund.,Refund issue escalated; refund expected in 3-5 business days.
2288,Ineffective magnesium supplement for sleep.,Alternative supplement recommendations (Valerian Root or 5-HTP).
2289,Gluten contamination in gluten-free cereal.,Refund issued; quality control notified.
2290,Expressing appreciation for a sale.,Positive feedback; no issue resolution needed.
2291,Received incorrect protein powder flavor.,"Incorrect order fulfillment; correct item will be sent, vanilla flavor kept, and a discount provided."
2292,Hidden delivery cost.,"No resolution; feedback noted, timeline unavailable."
2293,Order cancellation request.,Order cancelled; refund issued.
2294,Price increase of eye health product.,10% discount applied.
2295,Difficulty locating new vegan protein powder.,Product location information provided.
2296,Buyer's remorse; order cancellation.,"Order canceled, refund issued."
2297,Sold-out promotional skincare products.,Stock restock notification provided.
2298,Unresolved damage complaint.,Complaint escalated for faster resolution.
2299,Missing nutritional information (fiber content).,Fiber content provided: 5g per serving.
2300,Failed payment for online order.,Retry order; contact bank if problem persists.
2301,Seeking heart health supplement advice.,Supplement recommendations for heart health: CoQ10 and Omega-3 Fish Oil.
2302,Damaged protein powder delivery.,"Replacement sent, 10% discount offered."
2303,Order status inquiry.,Order delayed due to high demand; expected dispatch within 48 hours.
2304,Racial discrimination by staff.,Investigation launched into discrimination complaint.
2305,Store closed early due to staff illness.,Store closed early due to staff illness.
2306,Seeking recommendation for a non-habit forming natural sleep aid.,Product location confirmed; sleep aid recommendation provided.
2307,Incorrect store hours on website.,Online order arranged; 10% discount offered.
2308,Out-of-stock spirulina powder.,Online order placed.
2309,Positive feedback.,Positive feedback given; no resolution needed.
2310,Immune system support advice.,Recommended Vitamin C and D supplements.
2311,"Slow, unresponsive app.",Cleared app cache.
2312,Order processing delay.,Order delayed due to backorder; shipping tomorrow.
2313,Damaged and incomplete order.,Replacement items and 10% discount.
2314,Unknowledgeable staff.,No resolution offered; feedback on staff product knowledge given.
2315,Maca root powder out of stock in Sheffield store.,Sheffield store: Maca root powder restock in 10 days.
2316,Damaged product received.,Replacement sent after faulty item collection.
2317,No issue; expressing positive feedback.,Positive feedback; no issue resolution needed.
2318,Order cancellation.,"Order cancelled, refund processed."
2319,Delayed order delivery.,Order delayed due to stock issues; expected dispatch in two days.
2320,Inaccurate product description:  Vegan product contained beeswax.,Full refund issued.
2321,Expressing gratitude.,Positive feedback; no issue resolution needed.
2322,Misinformation about Biotin benefits.,Biotin exchanged for Glucosamine due to misinformation about its benefits.
2323,Delayed order delivery.,"Reshipped order, 10% discount added."
2324,Poor in-store customer service in Birmingham.,Issue escalated to store manager; product recommendation given.
2325,Incorrect delivery location.,New delivery arranged.
2326,Inconsistent store service.,Feedback forwarded to store manager.
